There is a total of 40000 digits of the types:  0 1 2 3 4 5 6 7 8 9
Cuda enabled 

Net(
  (l1): Linear(in_features=784, out_features=20, bias=True)
  (l_out): Linear(in_features=20, out_features=10, bias=True)
)
Epoch 300 : Train Loss 6.028785 , Train acc 0.294607, Valid acc 0.289750
Epoch 305 : Train Loss 6.027877 , Train acc 0.295179, Valid acc 0.289250
Epoch 310 : Train Loss 6.026995 , Train acc 0.294679, Valid acc 0.290000
Epoch 315 : Train Loss 6.026155 , Train acc 0.295321, Valid acc 0.288000
Epoch 320 : Train Loss 6.025343 , Train acc 0.295036, Valid acc 0.288250
Epoch 325 : Train Loss 6.024567 , Train acc 0.295036, Valid acc 0.287750
Epoch 330 : Train Loss 6.023821 , Train acc 0.295429, Valid acc 0.287500
Epoch 335 : Train Loss 6.023098 , Train acc 0.295464, Valid acc 0.288500
Epoch 340 : Train Loss 6.022406 , Train acc 0.295750, Valid acc 0.288500
Epoch 345 : Train Loss 6.021731 , Train acc 0.296429, Valid acc 0.289750
Epoch 350 : Train Loss 6.021084 , Train acc 0.297250, Valid acc 0.289250
Epoch 355 : Train Loss 6.020458 , Train acc 0.296929, Valid acc 0.290000
Epoch 360 : Train Loss 6.019853 , Train acc 0.297607, Valid acc 0.290750
Epoch 365 : Train Loss 6.019265 , Train acc 0.297893, Valid acc 0.291500
Epoch 370 : Train Loss 6.018698 , Train acc 0.298429, Valid acc 0.291500
Epoch 375 : Train Loss 6.018150 , Train acc 0.299000, Valid acc 0.293750
Epoch 380 : Train Loss 6.017616 , Train acc 0.299464, Valid acc 0.294250
Epoch 385 : Train Loss 6.017095 , Train acc 0.300179, Valid acc 0.294500
Epoch 390 : Train Loss 6.016592 , Train acc 0.300571, Valid acc 0.294750
Epoch 395 : Train Loss 6.016103 , Train acc 0.300821, Valid acc 0.295250
Epoch 400 : Train Loss 6.015633 , Train acc 0.301214, Valid acc 0.294250
Epoch 405 : Train Loss 6.015175 , Train acc 0.302393, Valid acc 0.294250
Epoch 410 : Train Loss 6.014726 , Train acc 0.303107, Valid acc 0.294500
Epoch 415 : Train Loss 6.014293 , Train acc 0.303036, Valid acc 0.295250
Epoch 420 : Train Loss 6.013869 , Train acc 0.302000, Valid acc 0.296000
Epoch 425 : Train Loss 6.013460 , Train acc 0.299500, Valid acc 0.295000
Epoch 430 : Train Loss 6.013060 , Train acc 0.298286, Valid acc 0.292000
Epoch 435 : Train Loss 6.012671 , Train acc 0.297036, Valid acc 0.288750
Epoch 440 : Train Loss 6.012290 , Train acc 0.296714, Valid acc 0.289000
Epoch 445 : Train Loss 6.011920 , Train acc 0.296536, Valid acc 0.289000
Epoch 450 : Train Loss 6.011559 , Train acc 0.296286, Valid acc 0.290000
Epoch 455 : Train Loss 6.011209 , Train acc 0.296607, Valid acc 0.289750
Epoch 460 : Train Loss 6.010862 , Train acc 0.296786, Valid acc 0.290500
Epoch 465 : Train Loss 6.010525 , Train acc 0.296679, Valid acc 0.290500
Epoch 470 : Train Loss 6.010197 , Train acc 0.296929, Valid acc 0.290500
Epoch 475 : Train Loss 6.009873 , Train acc 0.296750, Valid acc 0.291250
Epoch 480 : Train Loss 6.009559 , Train acc 0.296786, Valid acc 0.291750
Epoch 485 : Train Loss 6.009248 , Train acc 0.296714, Valid acc 0.292500
Epoch 490 : Train Loss 6.008945 , Train acc 0.296679, Valid acc 0.292500
Epoch 495 : Train Loss 6.008650 , Train acc 0.296393, Valid acc 0.292750
Epoch 500 : Train Loss 6.008356 , Train acc 0.296464, Valid acc 0.292500
Epoch 505 : Train Loss 6.008070 , Train acc 0.296214, Valid acc 0.293000
Epoch 510 : Train Loss 6.007787 , Train acc 0.296214, Valid acc 0.293000
Epoch 515 : Train Loss 6.007512 , Train acc 0.296143, Valid acc 0.293500
Epoch 520 : Train Loss 6.007240 , Train acc 0.295750, Valid acc 0.293000
Epoch 525 : Train Loss 6.006973 , Train acc 0.295643, Valid acc 0.293000
Epoch 530 : Train Loss 6.006706 , Train acc 0.295786, Valid acc 0.292750
Epoch 535 : Train Loss 6.006448 , Train acc 0.296071, Valid acc 0.292750
Epoch 540 : Train Loss 6.006190 , Train acc 0.295964, Valid acc 0.292750
Epoch 545 : Train Loss 6.005934 , Train acc 0.295929, Valid acc 0.293000
Epoch 550 : Train Loss 6.005685 , Train acc 0.295821, Valid acc 0.293000
Epoch 555 : Train Loss 6.005439 , Train acc 0.295679, Valid acc 0.292500
Epoch 560 : Train Loss 6.005195 , Train acc 0.295679, Valid acc 0.292250
Epoch 565 : Train Loss 6.004955 , Train acc 0.295714, Valid acc 0.292250
Epoch 570 : Train Loss 6.004714 , Train acc 0.295643, Valid acc 0.292500
Epoch 575 : Train Loss 6.004478 , Train acc 0.295679, Valid acc 0.292000
Epoch 580 : Train Loss 6.004247 , Train acc 0.295643, Valid acc 0.292250
Epoch 585 : Train Loss 6.004012 , Train acc 0.295750, Valid acc 0.292250
Epoch 590 : Train Loss 6.003786 , Train acc 0.295571, Valid acc 0.292250
Epoch 595 : Train Loss 6.003558 , Train acc 0.295643, Valid acc 0.291750
Epoch 600 : Train Loss 6.003332 , Train acc 0.295571, Valid acc 0.291500
Epoch 605 : Train Loss 6.003109 , Train acc 0.295536, Valid acc 0.292250
Epoch 610 : Train Loss 6.002889 , Train acc 0.295250, Valid acc 0.292000
Epoch 615 : Train Loss 6.002669 , Train acc 0.295214, Valid acc 0.292250
Epoch 620 : Train Loss 6.002451 , Train acc 0.295143, Valid acc 0.292250
